id,stateabb,ccode,year,major
1,USA,2,1817,0
2,USA,2,1818,0
3,USA,2,1819,0
4,USA,2,1820,0
5,USA,2,1821,0
6,USA,2,1822,0
7,USA,2,1823,0
8,USA,2,1824,0
9,USA,2,1825,0
10,USA,2,1826,0
11,USA,2,1827,0
12,USA,2,1828,0
13,USA,2,1829,0
14,USA,2,1830,0
15,USA,2,1831,0
16,USA,2,1832,0
17,USA,2,1833,0
18,USA,2,1834,0
19,USA,2,1835,0
20,USA,2,1836,0
21,USA,2,1837,0
22,USA,2,1838,0
23,USA,2,1839,0
24,USA,2,1840,0
25,USA,2,1841,0
26,USA,2,1842,0
27,USA,2,1843,0
28,USA,2,1844,0
29,USA,2,1845,0
30,USA,2,1846,0
31,USA,2,1847,0
32,USA,2,1848,0
33,USA,2,1849,0
34,USA,2,1850,0
35,USA,2,1851,0
36,USA,2,1852,0
37,USA,2,1853,0
38,USA,2,1854,0
39,USA,2,1855,0
40,USA,2,1856,0
41,USA,2,1857,0
42,USA,2,1858,0
43,USA,2,1859,0
44,USA,2,1860,0
45,USA,2,1861,0
46,USA,2,1862,0
47,USA,2,1863,0
48,USA,2,1864,0
49,USA,2,1865,0
50,USA,2,1866,0
51,USA,2,1867,0
52,USA,2,1868,0
53,USA,2,1869,0
54,USA,2,1870,0
55,USA,2,1871,0
56,USA,2,1872,0
57,USA,2,1873,0
58,USA,2,1874,0
59,USA,2,1875,0
60,USA,2,1876,0
61,USA,2,1877,0
62,USA,2,1878,0
63,USA,2,1879,0
64,USA,2,1880,0
65,USA,2,1881,0
66,USA,2,1882,0
67,USA,2,1883,0
68,USA,2,1884,0
69,USA,2,1885,0
70,USA,2,1886,0
71,USA,2,1887,0
72,USA,2,1888,0
73,USA,2,1889,0
74,USA,2,1890,0
75,USA,2,1891,0
76,USA,2,1892,0
77,USA,2,1893,0
78,USA,2,1894,0
79,USA,2,1895,0
80,USA,2,1896,0
81,USA,2,1897,0
82,USA,2,1898,1
83,USA,2,1899,1
84,USA,2,1900,1
85,USA,2,1901,1
86,USA,2,1902,1
87,USA,2,1903,1
88,USA,2,1904,1
89,USA,2,1905,1
90,USA,2,1906,1
91,USA,2,1907,1
92,USA,2,1908,1
93,USA,2,1909,1
94,USA,2,1910,1
95,USA,2,1911,1
96,USA,2,1912,1
97,USA,2,1913,1
98,USA,2,1914,1
99,USA,2,1915,1
100,USA,2,1916,1
101,USA,2,1917,1
102,USA,2,1918,1
103,USA,2,1919,1
104,USA,2,1920,1
105,USA,2,1921,1
106,USA,2,1922,1
107,USA,2,1923,1
108,USA,2,1924,1
109,USA,2,1925,1
110,USA,2,1926,1
111,USA,2,1927,1
112,USA,2,1928,1
113,USA,2,1929,1
114,USA,2,1930,1
115,USA,2,1931,1
116,USA,2,1932,1
117,USA,2,1933,1
118,USA,2,1934,1
119,USA,2,1935,1
120,USA,2,1936,1
121,USA,2,1937,1
122,USA,2,1938,1
123,USA,2,1939,1
124,USA,2,1940,1
125,USA,2,1941,1
126,USA,2,1942,1
127,USA,2,1943,1
128,USA,2,1944,1
129,USA,2,1945,1
130,USA,2,1946,1
131,USA,2,1947,1
132,USA,2,1948,1
133,USA,2,1949,1
134,USA,2,1950,1
135,USA,2,1951,1
136,USA,2,1952,1
137,USA,2,1953,1
138,USA,2,1954,1
139,USA,2,1955,1
140,USA,2,1956,1
141,USA,2,1957,1
142,USA,2,1958,1
143,USA,2,1959,1
144,USA,2,1960,1
145,USA,2,1961,1
146,USA,2,1962,1
147,USA,2,1963,1
148,USA,2,1964,1
149,USA,2,1965,1
150,USA,2,1966,1
151,USA,2,1967,1
152,USA,2,1968,1
153,USA,2,1969,1
154,USA,2,1970,1
155,USA,2,1971,1
156,USA,2,1972,1
157,USA,2,1973,1
158,USA,2,1974,1
159,USA,2,1975,1
160,USA,2,1976,1
161,USA,2,1977,1
162,USA,2,1978,1
163,USA,2,1979,1
164,USA,2,1980,1
165,USA,2,1981,1
166,USA,2,1982,1
167,USA,2,1983,1
168,USA,2,1984,1
169,USA,2,1985,1
170,USA,2,1986,1
171,USA,2,1987,1
172,USA,2,1988,1
173,USA,2,1989,1
174,USA,2,1990,1
175,USA,2,1991,1
176,USA,2,1992,1
177,USA,2,1993,1
178,USA,2,1994,1
179,USA,2,1995,1
180,USA,2,1996,1
181,USA,2,1997,1
182,USA,2,1998,1
183,USA,2,1999,1
184,USA,2,2000,1
185,USA,2,2001,1
186,USA,2,2002,1
187,USA,2,2003,1
188,USA,2,2004,1
189,USA,2,2005,1
190,USA,2,2006,1
191,USA,2,2007,1
192,USA,2,2008,1
193,USA,2,2009,1
194,USA,2,2010,1
195,USA,2,2011,1
196,USA,2,2012,1
197,USA,2,2013,1
198,USA,2,2014,1
199,CAN,20,1920,0
200,CAN,20,1921,0
201,CAN,20,1922,0
202,CAN,20,1923,0
203,CAN,20,1924,0
204,CAN,20,1925,0
205,CAN,20,1926,0
206,CAN,20,1927,0
207,CAN,20,1928,0
208,CAN,20,1929,0
209,CAN,20,1930,0
210,CAN,20,1931,0
211,CAN,20,1932,0
212,CAN,20,1933,0
213,CAN,20,1934,0
214,CAN,20,1935,0
215,CAN,20,1936,0
216,CAN,20,1937,0
217,CAN,20,1938,0
218,CAN,20,1939,0
219,CAN,20,1940,0
220,CAN,20,1941,0
221,CAN,20,1942,0
222,CAN,20,1943,0
223,CAN,20,1944,0
224,CAN,20,1945,0
225,CAN,20,1946,0
226,CAN,20,1947,0
227,CAN,20,1948,0
228,CAN,20,1949,0
229,CAN,20,1950,0
230,CAN,20,1951,0
231,CAN,20,1952,0
232,CAN,20,1953,0
233,CAN,20,1954,0
234,CAN,20,1955,0
235,CAN,20,1956,0
236,CAN,20,1957,0
237,CAN,20,1958,0
238,CAN,20,1959,0
239,CAN,20,1960,0
240,CAN,20,1961,0
241,CAN,20,1962,0
242,CAN,20,1963,0
243,CAN,20,1964,0
244,CAN,20,1965,0
245,CAN,20,1966,0
246,CAN,20,1967,0
247,CAN,20,1968,0
248,CAN,20,1969,0
249,CAN,20,1970,0
250,CAN,20,1971,0
251,CAN,20,1972,0
252,CAN,20,1973,0
253,CAN,20,1974,0
254,CAN,20,1975,0
255,CAN,20,1976,0
256,CAN,20,1977,0
257,CAN,20,1978,0
258,CAN,20,1979,0
259,CAN,20,1980,0
260,CAN,20,1981,0
261,CAN,20,1982,0
262,CAN,20,1983,0
263,CAN,20,1984,0
264,CAN,20,1985,0
265,CAN,20,1986,0
266,CAN,20,1987,0
267,CAN,20,1988,0
268,CAN,20,1989,0
269,CAN,20,1990,0
270,CAN,20,1991,0
271,CAN,20,1992,0
272,CAN,20,1993,0
273,CAN,20,1994,0
274,CAN,20,1995,0
275,CAN,20,1996,0
276,CAN,20,1997,0
277,CAN,20,1998,0
278,CAN,20,1999,0
279,CAN,20,2000,0
280,CAN,20,2001,0
281,CAN,20,2002,0
282,CAN,20,2003,0
283,CAN,20,2004,0
284,CAN,20,2005,0
285,CAN,20,2006,0
286,CAN,20,2007,0
287,CAN,20,2008,0
288,CAN,20,2009,0
289,CAN,20,2010,0
290,CAN,20,2011,0
291,CAN,20,2012,0
292,CAN,20,2013,0
293,CAN,20,2014,0
294,BHM,31,1973,0
295,BHM,31,1974,0
296,BHM,31,1975,0
297,BHM,31,1976,0
298,BHM,31,1977,0
299,BHM,31,1978,0
300,BHM,31,1979,0
301,BHM,31,1980,0
302,BHM,31,1981,0
303,BHM,31,1982,0
304,BHM,31,1983,0
305,BHM,31,1984,0
306,BHM,31,1985,0
307,BHM,31,1986,0
308,BHM,31,1987,0
309,BHM,31,1988,0
310,BHM,31,1989,0
311,BHM,31,1990,0
312,BHM,31,1991,0
313,BHM,31,1992,0
314,BHM,31,1993,0
315,BHM,31,1994,0
316,BHM,31,1995,0
317,BHM,31,1996,0
318,BHM,31,1997,0
319,BHM,31,1998,0
320,BHM,31,1999,0
321,BHM,31,2000,0
322,BHM,31,2001,0
323,BHM,31,2002,0
324,BHM,31,2003,0
325,BHM,31,2004,0
326,BHM,31,2005,0
327,BHM,31,2006,0
328,BHM,31,2007,0
329,BHM,31,2008,0
330,BHM,31,2009,0
331,BHM,31,2010,0
332,BHM,31,2011,0
333,BHM,31,2012,0
334,BHM,31,2013,0
335,BHM,31,2014,0
336,CUB,40,1902,0
337,CUB,40,1903,0
338,CUB,40,1904,0
339,CUB,40,1905,0
340,CUB,40,1906,0
341,CUB,40,1909,0
342,CUB,40,1910,0
343,CUB,40,1911,0
344,CUB,40,1912,0
345,CUB,40,1913,0
346,CUB,40,1914,0
347,CUB,40,1915,0
348,CUB,40,1916,0
349,CUB,40,1917,0
350,CUB,40,1918,0
351,CUB,40,1919,0
352,CUB,40,1920,0
353,CUB,40,1921,0
354,CUB,40,1922,0
355,CUB,40,1923,0
356,CUB,40,1924,0
357,CUB,40,1925,0
358,CUB,40,1926,0
359,CUB,40,1927,0
360,CUB,40,1928,0
361,CUB,40,1929,0
362,CUB,40,1930,0
363,CUB,40,1931,0
364,CUB,40,1932,0
365,CUB,40,1933,0
366,CUB,40,1934,0
367,CUB,40,1935,0
368,CUB,40,1936,0
369,CUB,40,1937,0
370,CUB,40,1938,0
371,CUB,40,1939,0
372,CUB,40,1940,0
373,CUB,40,1941,0
374,CUB,40,1942,0
375,CUB,40,1943,0
376,CUB,40,1944,0
377,CUB,40,1945,0
378,CUB,40,1946,0
379,CUB,40,1947,0
380,CUB,40,1948,0
381,CUB,40,1949,0
382,CUB,40,1950,0
383,CUB,40,1951,0
384,CUB,40,1952,0
385,CUB,40,1953,0
386,CUB,40,1954,0
387,CUB,40,1955,0
388,CUB,40,1956,0
389,CUB,40,1957,0
390,CUB,40,1958,0
391,CUB,40,1959,0
392,CUB,40,1960,0
393,CUB,40,1961,0
394,CUB,40,1962,0
395,CUB,40,1963,0
396,CUB,40,1964,0
397,CUB,40,1965,0
398,CUB,40,1966,0
399,CUB,40,1967,0
400,CUB,40,1968,0
401,CUB,40,1969,0
402,CUB,40,1970,0
403,CUB,40,1971,0
404,CUB,40,1972,0
405,CUB,40,1973,0
406,CUB,40,1974,0
407,CUB,40,1975,0
408,CUB,40,1976,0
409,CUB,40,1977,0
410,CUB,40,1978,0
411,CUB,40,1979,0
412,CUB,40,1980,0
413,CUB,40,1981,0
414,CUB,40,1982,0
415,CUB,40,1983,0
416,CUB,40,1984,0
417,CUB,40,1985,0
418,CUB,40,1986,0
419,CUB,40,1987,0
420,CUB,40,1988,0
421,CUB,40,1989,0
422,CUB,40,1990,0
423,CUB,40,1991,0
424,CUB,40,1992,0
425,CUB,40,1993,0
426,CUB,40,1994,0
427,CUB,40,1995,0
428,CUB,40,1996,0
429,CUB,40,1997,0
430,CUB,40,1998,0
431,CUB,40,1999,0
432,CUB,40,2000,0
433,CUB,40,2001,0
434,CUB,40,2002,0
435,CUB,40,2003,0
436,CUB,40,2004,0
437,CUB,40,2005,0
438,CUB,40,2006,0
439,CUB,40,2007,0
440,CUB,40,2008,0
441,CUB,40,2009,0
442,CUB,40,2010,0
443,CUB,40,2011,0
444,CUB,40,2012,0
445,CUB,40,2013,0
446,CUB,40,2014,0
447,HAI,41,1859,0
448,HAI,41,1860,0
449,HAI,41,1861,0
450,HAI,41,1862,0
451,HAI,41,1863,0
452,HAI,41,1864,0
453,HAI,41,1865,0
454,HAI,41,1866,0
455,HAI,41,1867,0
456,HAI,41,1868,0
457,HAI,41,1869,0
458,HAI,41,1870,0
459,HAI,41,1871,0
460,HAI,41,1872,0
461,HAI,41,1873,0
462,HAI,41,1874,0
463,HAI,41,1875,0
464,HAI,41,1876,0
465,HAI,41,1877,0
466,HAI,41,1878,0
467,HAI,41,1879,0
468,HAI,41,1880,0
469,HAI,41,1881,0
470,HAI,41,1882,0
471,HAI,41,1883,0
472,HAI,41,1884,0
473,HAI,41,1885,0
474,HAI,41,1886,0
475,HAI,41,1887,0
476,HAI,41,1888,0
477,HAI,41,1889,0
478,HAI,41,1890,0
479,HAI,41,1891,0
480,HAI,41,1892,0
481,HAI,41,1893,0
482,HAI,41,1894,0
483,HAI,41,1895,0
484,HAI,41,1896,0
485,HAI,41,1897,0
486,HAI,41,1898,0
487,HAI,41,1899,0
488,HAI,41,1900,0
489,HAI,41,1901,0
490,HAI,41,1902,0
491,HAI,41,1903,0
492,HAI,41,1904,0
493,HAI,41,1905,0
494,HAI,41,1906,0
495,HAI,41,1907,0
496,HAI,41,1908,0
497,HAI,41,1909,0
498,HAI,41,1910,0
499,HAI,41,1911,0
500,HAI,41,1912,0
501,HAI,41,1913,0
502,HAI,41,1914,0
503,HAI,41,1915,0
504,HAI,41,1934,0
505,HAI,41,1935,0
506,HAI,41,1936,0
507,HAI,41,1937,0
508,HAI,41,1938,0
509,HAI,41,1939,0
510,HAI,41,1940,0
511,HAI,41,1941,0
512,HAI,41,1942,0
513,HAI,41,1943,0
514,HAI,41,1944,0
515,HAI,41,1945,0
516,HAI,41,1946,0
517,HAI,41,1947,0
518,HAI,41,1948,0
519,HAI,41,1949,0
520,HAI,41,1950,0
521,HAI,41,1951,0
522,HAI,41,1952,0
523,HAI,41,1953,0
524,HAI,41,1954,0
525,HAI,41,1955,0
526,HAI,41,1956,0
527,HAI,41,1957,0
528,HAI,41,1958,0
529,HAI,41,1959,0
530,HAI,41,1960,0
531,HAI,41,1961,0
532,HAI,41,1962,0
533,HAI,41,1963,0
534,HAI,41,1964,0
535,HAI,41,1965,0
536,HAI,41,1966,0
537,HAI,41,1967,0
538,HAI,41,1968,0
539,HAI,41,1969,0
540,HAI,41,1970,0
541,HAI,41,1971,0
542,HAI,41,1972,0
543,HAI,41,1973,0
544,HAI,41,1974,0
545,HAI,41,1975,0
546,HAI,41,1976,0
547,HAI,41,1977,0
548,HAI,41,1978,0
549,HAI,41,1979,0
550,HAI,41,1980,0
551,HAI,41,1981,0
552,HAI,41,1982,0
553,HAI,41,1983,0
554,HAI,41,1984,0
555,HAI,41,1985,0
556,HAI,41,1986,0
557,HAI,41,1987,0
558,HAI,41,1988,0
559,HAI,41,1989,0
560,HAI,41,1990,0
561,HAI,41,1991,0
562,HAI,41,1992,0
563,HAI,41,1993,0
564,HAI,41,1994,0
565,HAI,41,1995,0
566,HAI,41,1996,0
567,HAI,41,1997,0
568,HAI,41,1998,0
569,HAI,41,1999,0
570,HAI,41,2000,0
571,HAI,41,2001,0
572,HAI,41,2002,0
573,HAI,41,2003,0
574,HAI,41,2004,0
575,HAI,41,2005,0
576,HAI,41,2006,0
577,HAI,41,2007,0
578,HAI,41,2008,0
579,HAI,41,2009,0
580,HAI,41,2010,0
581,HAI,41,2011,0
582,HAI,41,2012,0
583,HAI,41,2013,0
584,HAI,41,2014,0
585,DOM,42,1894,0
586,DOM,42,1895,0
587,DOM,42,1896,0
588,DOM,42,1897,0
589,DOM,42,1898,0
590,DOM,42,1899,0
591,DOM,42,1900,0
592,DOM,42,1901,0
593,DOM,42,1902,0
594,DOM,42,1903,0
595,DOM,42,1904,0
596,DOM,42,1905,0
597,DOM,42,1906,0
598,DOM,42,1907,0
599,DOM,42,1908,0
600,DOM,42,1909,0
601,DOM,42,1910,0
602,DOM,42,1911,0
603,DOM,42,1912,0
604,DOM,42,1913,0
605,DOM,42,1914,0
606,DOM,42,1915,0
607,DOM,42,1916,0
608,DOM,42,1924,0
609,DOM,42,1925,0
610,DOM,42,1926,0
611,DOM,42,1927,0
612,DOM,42,1928,0
613,DOM,42,1929,0
614,DOM,42,1930,0
615,DOM,42,1931,0
616,DOM,42,1932,0
617,DOM,42,1933,0
618,DOM,42,1934,0
619,DOM,42,1935,0
620,DOM,42,1936,0
621,DOM,42,1937,0
622,DOM,42,1938,0
623,DOM,42,1939,0
624,DOM,42,1940,0
625,DOM,42,1941,0
626,DOM,42,1942,0
627,DOM,42,1943,0
628,DOM,42,1944,0
629,DOM,42,1945,0
630,DOM,42,1946,0
631,DOM,42,1947,0
632,DOM,42,1948,0
633,DOM,42,1949,0
634,DOM,42,1950,0
635,DOM,42,1951,0
636,DOM,42,1952,0
637,DOM,42,1953,0
638,DOM,42,1954,0
639,DOM,42,1955,0
640,DOM,42,1956,0
641,DOM,42,1957,0
642,DOM,42,1958,0
643,DOM,42,1959,0
644,DOM,42,1960,0
645,DOM,42,1961,0
646,DOM,42,1962,0
647,DOM,42,1963,0
648,DOM,42,1964,0
649,DOM,42,1965,0
650,DOM,42,1966,0
651,DOM,42,1967,0
652,DOM,42,1968,0
653,DOM,42,1969,0
654,DOM,42,1970,0
655,DOM,42,1971,0
656,DOM,42,1972,0
657,DOM,42,1973,0
658,DOM,42,1974,0
659,DOM,42,1975,0
660,DOM,42,1976,0
661,DOM,42,1977,0
662,DOM,42,1978,0
663,DOM,42,1979,0
664,DOM,42,1980,0
665,DOM,42,1981,0
666,DOM,42,1982,0
667,DOM,42,1983,0
668,DOM,42,1984,0
669,DOM,42,1985,0
670,DOM,42,1986,0
671,DOM,42,1987,0
672,DOM,42,1988,0
673,DOM,42,1989,0
674,DOM,42,1990,0
675,DOM,42,1991,0
676,DOM,42,1992,0
677,DOM,42,1993,0
678,DOM,42,1994,0
679,DOM,42,1995,0
680,DOM,42,1996,0
681,DOM,42,1997,0
682,DOM,42,1998,0
683,DOM,42,1999,0
684,DOM,42,2000,0
685,DOM,42,2001,0
686,DOM,42,2002,0
687,DOM,42,2003,0
688,DOM,42,2004,0
689,DOM,42,2005,0
690,DOM,42,2006,0
691,DOM,42,2007,0
692,DOM,42,2008,0
693,DOM,42,2009,0
694,DOM,42,2010,0
695,DOM,42,2011,0
696,DOM,42,2012,0
697,DOM,42,2013,0
698,DOM,42,2014,0
699,JAM,51,1962,0
700,JAM,51,1963,0
701,JAM,51,1964,0
702,JAM,51,1965,0
703,JAM,51,1966,0
704,JAM,51,1967,0
705,JAM,51,1968,0
706,JAM,51,1969,0
707,JAM,51,1970,0
708,JAM,51,1971,0
709,JAM,51,1972,0
710,JAM,51,1973,0
711,JAM,51,1974,0
712,JAM,51,1975,0
713,JAM,51,1976,0
714,JAM,51,1977,0
715,JAM,51,1978,0
716,JAM,51,1979,0
717,JAM,51,1980,0
718,JAM,51,1981,0
719,JAM,51,1982,0
720,JAM,51,1983,0
721,JAM,51,1984,0
722,JAM,51,1985,0
723,JAM,51,1986,0
724,JAM,51,1987,0
725,JAM,51,1988,0
726,JAM,51,1989,0
727,JAM,51,1990,0
728,JAM,51,1991,0
729,JAM,51,1992,0
730,JAM,51,1993,0
731,JAM,51,1994,0
732,JAM,51,1995,0
733,JAM,51,1996,0
734,JAM,51,1997,0
735,JAM,51,1998,0
736,JAM,51,1999,0
737,JAM,51,2000,0
738,JAM,51,2001,0
739,JAM,51,2002,0
740,JAM,51,2003,0
741,JAM,51,2004,0
742,JAM,51,2005,0
743,JAM,51,2006,0
744,JAM,51,2007,0
745,JAM,51,2008,0
746,JAM,51,2009,0
747,JAM,51,2010,0
748,JAM,51,2011,0
749,JAM,51,2012,0
750,JAM,51,2013,0
751,JAM,51,2014,0
752,TRI,52,1962,0
753,TRI,52,1963,0
754,TRI,52,1964,0
755,TRI,52,1965,0
756,TRI,52,1966,0
757,TRI,52,1967,0
758,TRI,52,1968,0
759,TRI,52,1969,0
760,TRI,52,1970,0
761,TRI,52,1971,0
762,TRI,52,1972,0
763,TRI,52,1973,0
764,TRI,52,1974,0
765,TRI,52,1975,0
766,TRI,52,1976,0
767,TRI,52,1977,0
768,TRI,52,1978,0
769,TRI,52,1979,0
770,TRI,52,1980,0
771,TRI,52,1981,0
772,TRI,52,1982,0
773,TRI,52,1983,0
774,TRI,52,1984,0
775,TRI,52,1985,0
776,TRI,52,1986,0
777,TRI,52,1987,0
778,TRI,52,1988,0
779,TRI,52,1989,0
780,TRI,52,1990,0
781,TRI,52,1991,0
782,TRI,52,1992,0
783,TRI,52,1993,0
784,TRI,52,1994,0
785,TRI,52,1995,0
786,TRI,52,1996,0
787,TRI,52,1997,0
788,TRI,52,1998,0
789,TRI,52,1999,0
790,TRI,52,2000,0
791,TRI,52,2001,0
792,TRI,52,2002,0
793,TRI,52,2003,0
794,TRI,52,2004,0
795,TRI,52,2005,0
796,TRI,52,2006,0
797,TRI,52,2007,0
798,TRI,52,2008,0
799,TRI,52,2009,0
800,TRI,52,2010,0
801,TRI,52,2011,0
802,TRI,52,2012,0
803,TRI,52,2013,0
804,TRI,52,2014,0
805,BAR,53,1966,0
806,BAR,53,1967,0
807,BAR,53,1968,0
808,BAR,53,1969,0
809,BAR,53,1970,0
810,BAR,53,1971,0
811,BAR,53,1972,0
812,BAR,53,1973,0
813,BAR,53,1974,0
814,BAR,53,1975,0
815,BAR,53,1976,0
816,BAR,53,1977,0
817,BAR,53,1978,0
818,BAR,53,1979,0
819,BAR,53,1980,0
820,BAR,53,1981,0
821,BAR,53,1982,0
822,BAR,53,1983,0
823,BAR,53,1984,0
824,BAR,53,1985,0
825,BAR,53,1986,0
826,BAR,53,1987,0
827,BAR,53,1988,0
828,BAR,53,1989,0
829,BAR,53,1990,0
830,BAR,53,1991,0
831,BAR,53,1992,0
832,BAR,53,1993,0
833,BAR,53,1994,0
834,BAR,53,1995,0
835,BAR,53,1996,0
836,BAR,53,1997,0
837,BAR,53,1998,0
838,BAR,53,1999,0
839,BAR,53,2000,0
840,BAR,53,2001,0
841,BAR,53,2002,0
842,BAR,53,2003,0
843,BAR,53,2004,0
844,BAR,53,2005,0
845,BAR,53,2006,0
846,BAR,53,2007,0
847,BAR,53,2008,0
848,BAR,53,2009,0
849,BAR,53,2010,0
850,BAR,53,2011,0
851,BAR,53,2012,0
852,BAR,53,2013,0
853,BAR,53,2014,0
854,DMA,54,1978,0
855,DMA,54,1979,0
856,DMA,54,1980,0
857,DMA,54,1981,0
858,DMA,54,1982,0
859,DMA,54,1983,0
860,DMA,54,1984,0
861,DMA,54,1985,0
862,DMA,54,1986,0
863,DMA,54,1987,0
864,DMA,54,1988,0
865,DMA,54,1989,0
866,DMA,54,1990,0
867,DMA,54,1991,0
868,DMA,54,1992,0
869,DMA,54,1993,0
870,DMA,54,1994,0
871,DMA,54,1995,0
872,DMA,54,1996,0
873,DMA,54,1997,0
874,DMA,54,1998,0
875,DMA,54,1999,0
876,DMA,54,2000,0
877,DMA,54,2001,0
878,DMA,54,2002,0
879,DMA,54,2003,0
880,DMA,54,2004,0
881,DMA,54,2005,0
882,DMA,54,2006,0
883,DMA,54,2007,0
884,DMA,54,2008,0
885,DMA,54,2009,0
886,DMA,54,2010,0
887,DMA,54,2011,0
888,DMA,54,2012,0
889,DMA,54,2013,0
890,DMA,54,2014,0
891,GRN,55,1974,0
892,GRN,55,1975,0
893,GRN,55,1976,0
894,GRN,55,1977,0
895,GRN,55,1978,0
896,GRN,55,1979,0
897,GRN,55,1980,0
898,GRN,55,1981,0
899,GRN,55,1982,0
900,GRN,55,1983,0
901,GRN,55,1984,0
902,GRN,55,1985,0
903,GRN,55,1986,0
904,GRN,55,1987,0
905,GRN,55,1988,0
906,GRN,55,1989,0
907,GRN,55,1990,0
908,GRN,55,1991,0
909,GRN,55,1992,0
910,GRN,55,1993,0
911,GRN,55,1994,0
912,GRN,55,1995,0
913,GRN,55,1996,0
914,GRN,55,1997,0
915,GRN,55,1998,0
916,GRN,55,1999,0
917,GRN,55,2000,0
918,GRN,55,2001,0
919,GRN,55,2002,0
920,GRN,55,2003,0
921,GRN,55,2004,0
922,GRN,55,2005,0
923,GRN,55,2006,0
924,GRN,55,2007,0
925,GRN,55,2008,0
926,GRN,55,2009,0
927,GRN,55,2010,0
928,GRN,55,2011,0
929,GRN,55,2012,0
930,GRN,55,2013,0
931,GRN,55,2014,0
932,SLU,56,1979,0
933,SLU,56,1980,0
934,SLU,56,1981,0
935,SLU,56,1982,0
936,SLU,56,1983,0
937,SLU,56,1984,0
938,SLU,56,1985,0
939,SLU,56,1986,0
940,SLU,56,1987,0
941,SLU,56,1988,0
942,SLU,56,1989,0
943,SLU,56,1990,0
944,SLU,56,1991,0
945,SLU,56,1992,0
946,SLU,56,1993,0
947,SLU,56,1994,0
948,SLU,56,1995,0
949,SLU,56,1996,0
950,SLU,56,1997,0
951,SLU,56,1998,0
952,SLU,56,1999,0
953,SLU,56,2000,0
954,SLU,56,2001,0
955,SLU,56,2002,0
956,SLU,56,2003,0
957,SLU,56,2004,0
958,SLU,56,2005,0
959,SLU,56,2006,0
960,SLU,56,2007,0
961,SLU,56,2008,0
962,SLU,56,2009,0
963,SLU,56,2010,0
964,SLU,56,2011,0
965,SLU,56,2012,0
966,SLU,56,2013,0
967,SLU,56,2014,0
968,SVG,57,1979,0
969,SVG,57,1980,0
970,SVG,57,1981,0
971,SVG,57,1982,0
972,SVG,57,1983,0
973,SVG,57,1984,0
974,SVG,57,1985,0
975,SVG,57,1986,0
976,SVG,57,1987,0
977,SVG,57,1988,0
978,SVG,57,1989,0
979,SVG,57,1990,0
980,SVG,57,1991,0
981,SVG,57,1992,0
982,SVG,57,1993,0
983,SVG,57,1994,0
984,SVG,57,1995,0
985,SVG,57,1996,0
986,SVG,57,1997,0
987,SVG,57,1998,0
988,SVG,57,1999,0
989,SVG,57,2000,0
990,SVG,57,2001,0
991,SVG,57,2002,0
992,SVG,57,2003,0
993,SVG,57,2004,0
994,SVG,57,2005,0
995,SVG,57,2006,0
996,SVG,57,2007,0
997,SVG,57,2008,0
998,SVG,57,2009,0
999,SVG,57,2010,0
1000,SVG,57,2011,0
