id,stateabb,ccode,year,chrstprot
1,USA,2,1950,73090083
2,USA,2,1955,79294628
3,USA,2,1960,90692928
4,USA,2,1965,94165803
5,USA,2,1970,93918347
6,USA,2,1975,93578909
7,USA,2,1980,101216516
8,USA,2,1985,107309700
9,USA,2,1990,132040181
10,USA,2,1995,123669458
11,USA,2,2000,115298736
12,USA,2,2005,117527349
13,USA,2,2010,119755961
14,CAN,20,1945,4002534
15,CAN,20,1950,4098000
16,CAN,20,1955,4248720
17,CAN,20,1960,4635491
18,CAN,20,1965,5138863
19,CAN,20,1970,5750190
20,CAN,20,1975,6124060
21,CAN,20,1980,6792962
22,CAN,20,1985,7450000
23,CAN,20,1990,7936000
24,CAN,20,1995,8001536
25,CAN,20,2000,8067073
26,CAN,20,2005,8996090
27,CAN,20,2010,7929127
28,BHM,31,1975,100339
29,BHM,31,1980,104580
30,BHM,31,1985,109000
31,BHM,31,1990,124600
32,BHM,31,1995,148938
33,BHM,31,2000,207870
34,BHM,31,2005,219700
35,BHM,31,2010,211798
36,CUB,40,1945,185865
37,CUB,40,1950,220852
38,CUB,40,1955,242266
39,CUB,40,1960,265000
40,CUB,40,1965,265000
41,CUB,40,1970,238062
42,CUB,40,1975,260000
43,CUB,40,1980,437580
44,CUB,40,1985,403920
45,CUB,40,1990,424960
46,CUB,40,1995,436160
47,CUB,40,2000,500000
48,CUB,40,2005,562150
49,CUB,40,2010,550000
50,HAI,41,1945,310000
51,HAI,41,1950,310000
52,HAI,41,1955,321500
53,HAI,41,1960,333000
54,HAI,41,1965,344911
55,HAI,41,1970,400073
56,HAI,41,1975,464056
57,HAI,41,1980,574900
58,HAI,41,1985,610000
59,HAI,41,1990,730500
60,HAI,41,1995,745110
61,HAI,41,2000,822200
62,HAI,41,2005,941000
63,HAI,41,2010,976083
64,DOM,42,1945,31680
65,DOM,42,1950,33440
66,DOM,42,1955,40952
67,DOM,42,1960,48465
68,DOM,42,1965,50250
69,DOM,42,1970,406200
70,DOM,42,1975,516670
71,DOM,42,1980,151000
72,DOM,42,1985,109072
73,DOM,42,1990,285000
74,DOM,42,1995,788700
75,DOM,42,2000,743538
76,DOM,42,2005,1010238
77,DOM,42,2010,1493497
78,JAM,51,1960,1113072
79,JAM,51,1965,1116720
80,JAM,51,1970,1161798
81,JAM,51,1975,1164819
82,JAM,51,1980,1167840
83,JAM,51,1985,1657000
84,JAM,51,1990,1335978
85,JAM,51,1995,1422741
86,JAM,51,2000,1509505
87,JAM,51,2005,1622752
88,JAM,51,2010,1736000
89,TRI,52,1960,79520
90,TRI,52,1965,93020
91,TRI,52,1970,106520
92,TRI,52,1975,125460
93,TRI,52,1980,144400
94,TRI,52,1985,153140
95,TRI,52,1990,216270
96,TRI,52,1995,255117
97,TRI,52,2000,293965
98,TRI,52,2005,279692
99,TRI,52,2010,365100
100,BAR,53,1970,50582
101,BAR,53,1975,49601
102,BAR,53,1980,46620
103,BAR,53,1985,67230
104,BAR,53,1990,77536
105,BAR,53,1995,87557
106,BAR,53,2000,97578
107,BAR,53,2005,99456
108,BAR,53,2010,101335
109,DMA,54,1980,4640
110,DMA,54,1985,5000
111,DMA,54,1990,10600
112,DMA,54,1995,10900
113,DMA,54,2000,15200
114,DMA,54,2005,13075
115,DMA,54,2010,10950
116,GRN,55,1975,9800
117,GRN,55,1980,11130
118,GRN,55,1985,10000
119,GRN,55,1990,14287
120,GRN,55,1995,15403
121,GRN,55,2000,27491
122,GRN,55,2005,20600
123,GRN,55,2010,23852
124,SLU,56,1980,16481
125,SLU,56,1985,16000
126,SLU,56,1990,15532
127,SLU,56,1995,18016
128,SLU,56,2000,33880
129,SLU,56,2005,38998
130,SLU,56,2010,44116
131,SVG,57,1980,20140
132,SVG,57,1985,21000
133,SVG,57,1990,31100
134,SVG,57,1995,31510
135,SVG,57,2000,51744
136,SVG,57,2005,40016
137,SVG,57,2010,28288
138,AAB,58,1980,23300
139,AAB,58,1985,22000
140,AAB,58,1990,27334
141,AAB,58,1995,30431
142,AAB,58,2000,33528
143,AAB,58,2005,38619
144,AAB,58,2010,43710
145,SKN,60,1985,22450
146,SKN,60,1990,18630
147,SKN,60,1995,20803
148,SKN,60,2000,22977
149,SKN,60,2005,15238
150,SKN,60,2010,7500
151,MEX,70,1945,222300
152,MEX,70,1950,330111
153,MEX,70,1955,330000
154,MEX,70,1960,400000
155,MEX,70,1965,600000
156,MEX,70,1970,876879
157,MEX,70,1975,1171228
158,MEX,70,1980,1189400
159,MEX,70,1985,1189400
160,MEX,70,1990,2600000
161,MEX,70,1995,2727296
162,MEX,70,2000,2854592
163,MEX,70,2005,3917977
164,MEX,70,2010,15886801
165,BLZ,80,1980,21700
166,BLZ,80,1985,22500
167,BLZ,80,1990,29500
168,BLZ,80,1995,34500
169,BLZ,80,2000,58684
170,BLZ,80,2005,69756
171,BLZ,80,2010,80829
172,GUA,90,1945,72000
173,GUA,90,1950,78000
174,GUA,90,1955,79000
175,GUA,90,1960,150000
176,GUA,90,1965,104000
177,GUA,90,1970,269594
178,GUA,90,1975,369097
179,GUA,90,1980,468600
180,GUA,90,1985,764300
181,GUA,90,1990,1060000
182,GUA,90,1995,1296000
183,GUA,90,2000,1593900
184,GUA,90,2005,5080400
185,GUA,90,2010,5529785
186,HON,91,1945,23305
187,HON,91,1950,27000
188,HON,91,1955,31000
189,HON,91,1960,35000
190,HON,91,1965,42000
191,HON,91,1970,61889
192,HON,91,1975,84144
193,HON,91,1980,106400
194,HON,91,1985,139000
195,HON,91,1990,166850
196,HON,91,1995,378425
197,HON,91,2000,590000
198,HON,91,2005,690000
199,HON,91,2010,2560652
200,SAL,92,1945,0
201,SAL,92,1950,0
202,SAL,92,1955,0
203,SAL,92,1960,0
204,SAL,92,1965,75000
205,SAL,92,1970,149197
206,SAL,92,1975,180498
207,SAL,92,1980,211800
208,SAL,92,1985,169960
209,SAL,92,1990,200000
210,SAL,92,1995,413800
211,SAL,92,2000,627600
212,SAL,92,2005,1151460
213,SAL,92,2010,1990591
214,NIC,93,1945,39024
215,NIC,93,1950,40000
216,NIC,93,1955,41000
217,NIC,93,1960,42000
218,NIC,93,1965,54100
219,NIC,93,1970,118138
220,NIC,93,1975,174069
221,NIC,93,1980,230000
222,NIC,93,1985,250000
223,NIC,93,1990,435000
224,NIC,93,1995,512500
225,NIC,93,2000,590000
226,NIC,93,2005,1264400
227,NIC,93,2010,1350661
228,COS,94,1945,0
229,COS,94,1950,0
230,COS,94,1955,0
231,COS,94,1960,0
232,COS,94,1965,40000
233,COS,94,1970,48874
234,COS,94,1975,59887
235,COS,94,1980,70900
236,COS,94,1985,48000
237,COS,94,1990,99000
238,COS,94,1995,170000
239,COS,94,2000,310000
240,COS,94,2005,472368
241,COS,94,2010,453444
242,PAN,95,1945,42600
243,PAN,95,1950,48000
244,PAN,95,1955,47300
245,PAN,95,1960,55000
246,PAN,95,1965,69500
247,PAN,95,1970,84001
248,PAN,95,1975,103380
249,PAN,95,1980,129400
250,PAN,95,1985,122280
251,PAN,95,1990,280000
252,PAN,95,1995,184170
253,PAN,95,2000,420000
254,PAN,95,2005,611040
255,PAN,95,2010,805444
256,COL,100,1945,40000
257,COL,100,1950,60000
258,COL,100,1955,90000
259,COL,100,1960,66666
260,COL,100,1965,90000
261,COL,100,1970,202635
262,COL,100,1975,200000
263,COL,100,1980,235000
264,COL,100,1985,280000
265,COL,100,1990,340000
266,COL,100,1995,412857
267,COL,100,2000,5713335
268,COL,100,2005,6433350
269,COL,100,2010,6944250
270,VEN,101,1945,0
271,VEN,101,1950,0
272,VEN,101,1955,14000
273,VEN,101,1960,20000
274,VEN,101,1965,20000
275,VEN,101,1970,84593
276,VEN,101,1975,179900
277,VEN,101,1980,275206
278,VEN,101,1985,230946
279,VEN,101,1990,280000
280,VEN,101,1995,218440
281,VEN,101,2000,3625500
282,VEN,101,2005,3975300
283,VEN,101,2010,4325100
284,GUY,110,1970,94435
285,GUY,110,1975,99135
286,GUY,110,1980,100100
287,GUY,110,1985,122000
288,GUY,110,1990,102240
289,GUY,110,1995,143745
290,GUY,110,2000,185250
291,GUY,110,2005,189500
292,GUY,110,2010,191875
293,SUR,115,1975,84339
294,SUR,115,1980,85900
295,SUR,115,1985,88000
296,SUR,115,1990,98750
297,SUR,115,1995,99725
298,SUR,115,2000,112000
299,SUR,115,2005,120748
300,SUR,115,2010,142632
301,ECU,130,1945,0
302,ECU,130,1950,0
303,ECU,130,1955,0
304,ECU,130,1960,0
305,ECU,130,1965,19200
306,ECU,130,1970,72190
307,ECU,130,1975,79070
308,ECU,130,1980,82333
309,ECU,130,1985,85000
310,ECU,130,1990,105000
311,ECU,130,1995,115000
312,ECU,130,2000,345000
313,ECU,130,2005,314591
314,ECU,130,2010,284183
315,PER,135,1945,0
316,PER,135,1950,0
317,PER,135,1955,0
318,PER,135,1960,0
319,PER,135,1965,128000
320,PER,135,1970,190496
321,PER,135,1975,150000
322,PER,135,1980,255500
323,PER,135,1985,292380
324,PER,135,1990,852000
325,PER,135,1995,961000
326,PER,135,2000,3002454
327,PER,135,2005,3059210
328,PER,135,2010,3675330
329,BRA,140,1945,1523643
330,BRA,140,1950,1305857
331,BRA,140,1955,1741430
332,BRA,140,1960,4280870
333,BRA,140,1965,2309968
334,BRA,140,1970,6020237
335,BRA,140,1975,6985118
336,BRA,140,1980,7950000
337,BRA,140,1985,8269000
338,BRA,140,1990,12804925
339,BRA,140,1995,21476243
340,BRA,140,2000,26197710
341,BRA,140,2005,38660132
342,BRA,140,2010,51122554
343,BOL,145,1945,57000
344,BOL,145,1950,54280
345,BOL,145,1955,15500
346,BOL,145,1960,16755
347,BOL,145,1965,18740
348,BOL,145,1970,21060
349,BOL,145,1975,149530
350,BOL,145,1980,278000
351,BOL,145,1985,305000
352,BOL,145,1990,400000
353,BOL,145,1995,450000
354,BOL,145,2000,1241021
355,BOL,145,2005,581350
356,BOL,145,2010,1373600
357,PAR,150,1945,21187
358,PAR,150,1950,26070
359,PAR,150,1955,32080
360,PAR,150,1960,28540
361,PAR,150,1965,25000
362,PAR,150,1970,47000
363,PAR,150,1975,55050
364,PAR,150,1980,63100
365,PAR,150,1985,67000
366,PAR,150,1990,83446
367,PAR,150,1995,103928
368,PAR,150,2000,274800
369,PAR,150,2005,442425
370,PAR,150,2010,258212
371,CHL,155,1945,177500
372,CHL,155,1950,241000
373,CHL,155,1955,242928
374,CHL,155,1960,245500
375,CHL,155,1965,320000
376,CHL,155,1970,200953
377,CHL,155,1975,250000
378,CHL,155,1980,279100
379,CHL,155,1985,625000
380,CHL,155,1990,882500
381,CHL,155,1995,1563100
382,CHL,155,2000,1321736
383,CHL,155,2005,2456317
384,CHL,155,2010,1811913
385,ARG,160,1945,310266
386,ARG,160,1950,311000
387,ARG,160,1955,251000
388,ARG,160,1960,214000
389,ARG,160,1965,395068
390,ARG,160,1970,576136
391,ARG,160,1975,520980
392,ARG,160,1980,665760
393,ARG,160,1985,404046
394,ARG,160,1990,635760
395,ARG,160,1995,695360
396,ARG,160,2000,3332880
397,ARG,160,2005,2315520
398,ARG,160,2010,4039999
399,URU,165,1945,45000
400,URU,165,1950,43920
401,URU,165,1955,26960
402,URU,165,1960,10000
403,URU,165,1965,32500
404,URU,165,1970,57053
405,URU,165,1975,47529
406,URU,165,1980,38005
407,URU,165,1985,90240
408,URU,165,1990,96000
409,URU,165,1995,83720
410,URU,165,2000,95000
411,URU,165,2005,363660
412,URU,165,2010,369234
413,UKG,200,1945,10306954
414,UKG,200,1950,10000000
415,UKG,200,1955,9227777
416,UKG,200,1960,8655555
417,UKG,200,1965,8283332
418,UKG,200,1970,7711109
419,UKG,200,1975,7082082
420,UKG,200,1980,6453055
421,UKG,200,1985,5824027
422,UKG,200,1990,5195000
423,UKG,200,1995,4950700
424,UKG,200,2000,4512000
425,UKG,200,2005,4800000
426,UKG,200,2010,4525200
427,IRE,205,1945,32225
428,IRE,205,1950,40675
429,IRE,205,1955,37188
430,IRE,205,1960,25629
431,IRE,205,1965,30214
432,IRE,205,1970,21698
433,IRE,205,1975,26907
434,IRE,205,1980,32116
435,IRE,205,1985,25176
436,IRE,205,1990,18236
437,IRE,205,1995,40200
438,IRE,205,2000,30213
439,IRE,205,2005,35113
440,IRE,205,2010,31442
441,NTH,210,1955,4530109
442,NTH,210,1960,4583913
443,NTH,210,1965,4637716
444,NTH,210,1970,4691520
445,NTH,210,1975,4583310
446,NTH,210,1980,4475100
447,NTH,210,1985,4277550
448,NTH,210,1990,4080000
449,NTH,210,1995,3679481
450,NTH,210,2000,3200000
451,NTH,210,2005,3132846
452,NTH,210,2010,2824128
453,BEL,211,1945,21904
454,BEL,211,1950,35074
455,BEL,211,1955,45618
456,BEL,211,1960,56161
457,BEL,211,1965,62705
458,BEL,211,1970,77248
459,BEL,211,1975,111424
460,BEL,211,1980,145600
461,BEL,211,1985,131300
462,BEL,211,1990,117000
463,BEL,211,1995,100840
464,BEL,211,2000,95000
465,BEL,211,2005,132000
466,BEL,211,2010,108763
467,LUX,212,1945,2503
468,LUX,212,1950,4410
469,LUX,212,1955,4986
470,LUX,212,1960,5561
471,LUX,212,1965,6137
472,LUX,212,1970,6712
473,LUX,212,1975,6834
474,LUX,212,1980,6956
475,LUX,212,1985,7078
476,LUX,212,1990,7200
477,LUX,212,1995,7910
478,LUX,212,2000,8000
479,LUX,212,2005,8200
480,LUX,212,2010,8500
481,FRN,220,1945,788877
482,FRN,220,1950,834720
483,FRN,220,1955,879880
484,FRN,220,1960,925040
485,FRN,220,1965,970200
486,FRN,220,1970,1015360
487,FRN,220,1975,1125180
488,FRN,220,1980,1235000
489,FRN,220,1985,1105730
490,FRN,220,1990,1134255
491,FRN,220,1995,1162780
492,FRN,220,2000,1150000
493,FRN,220,2005,1219920
494,FRN,220,2010,1254451
495,MNC,221,1995,700
496,MNC,221,2000,2306
497,MNC,221,2005,1621
498,MNC,221,2010,936
499,LIE,223,1990,2140
500,LIE,223,1995,2555
501,LIE,223,2000,2760
502,LIE,223,2005,2911
503,LIE,223,2010,3062
504,SWZ,225,1945,2267320
505,SWZ,225,1950,2510780
506,SWZ,225,1955,2700240
507,SWZ,225,1960,2801100
508,SWZ,225,1965,2841960
509,SWZ,225,1970,2882820
510,SWZ,225,1975,3092000
511,SWZ,225,1980,2865700
512,SWZ,225,1985,2831850
513,SWZ,225,1990,2798000
514,SWZ,225,1995,2683550
515,SWZ,225,2000,2569100
516,SWZ,225,2005,2665503
517,SWZ,225,2010,2193742
518,SPN,230,1945,26000
519,SPN,230,1950,29970
520,SPN,230,1955,20000
521,SPN,230,1960,20000
522,SPN,230,1965,0
523,SPN,230,1970,0
524,SPN,230,1975,0
525,SPN,230,1980,0
526,SPN,230,1985,0
527,SPN,230,1990,0
528,SPN,230,1995,0
529,SPN,230,2000,800000
530,SPN,230,2005,780000
531,SPN,230,2010,1200000
532,AND,232,1995,680
533,AND,232,2000,0
534,AND,232,2005,0
535,AND,232,2010,300
536,POR,235,1945,19873
537,POR,235,1950,29922
538,POR,235,1955,40052
539,POR,235,1960,60181
540,POR,235,1965,75311
541,POR,235,1970,90440
542,POR,235,1975,61550
543,POR,235,1980,32660
544,POR,235,1985,54827
545,POR,235,1990,76993
546,POR,235,1995,99160
547,POR,235,2000,395000
548,POR,235,2005,240070
549,POR,235,2010,85140
550,GMY,255,1945,43951530
551,GMY,255,1990,31840000
552,GMY,255,1995,28786300
553,GMY,255,2000,27000000
554,GMY,255,2005,26605000
555,GMY,255,2010,25300000
556,GFR,260,1955,26758004
557,GFR,260,1960,28021153
558,GFR,260,1965,29035506
559,GFR,260,1970,29749860
560,GFR,260,1975,29686560
561,GFR,260,1980,28922860
562,GFR,260,1985,28459000
563,GFR,260,1990,28960000
564,GDR,265,1955,13221145
565,GDR,265,1960,12351038
566,GDR,265,1965,11480931
567,GDR,265,1970,10610824
568,GDR,265,1975,9840717
569,GDR,265,1980,9590300
570,GDR,265,1985,8849410
571,POL,290,1945,232958
572,POL,290,1950,242592
573,POL,290,1955,263996
574,POL,290,1960,280000
575,POL,290,1965,210000
576,POL,290,1970,215388
577,POL,290,1975,240775
578,POL,290,1980,256163
579,POL,290,1985,311550
580,POL,290,1990,336938
581,POL,290,1995,362325
582,POL,290,2000,116295
583,POL,290,2005,158000
584,POL,290,2010,145600
585,AUS,305,1955,432246
586,AUS,305,1960,437000
587,AUS,305,1965,436260
588,AUS,305,1970,454740
589,AUS,305,1975,455160
590,AUS,305,1980,423162
591,AUS,305,1985,423000
592,AUS,305,1990,385378
593,AUS,305,1995,425275
594,AUS,305,2000,384488
595,AUS,305,2005,443937
596,AUS,305,2010,503386
597,HUN,310,1945,2346240
598,HUN,310,1950,2428660
599,HUN,310,1955,2474500
600,HUN,310,1960,2486934
601,HUN,310,1965,2489369
602,HUN,310,1970,2491803
603,HUN,310,1975,2424202
604,HUN,310,1980,2356601
605,HUN,310,1985,2289000
606,HUN,310,1990,2187859
607,HUN,310,1995,2086717
608,HUN,310,2000,1953973
609,HUN,310,2005,1876771
610,HUN,310,2010,1799569
611,CZE,315,1945,1200000
612,CZE,315,1950,1047440
613,CZE,315,1955,1095560
614,CZE,315,1960,1200000
615,CZE,315,1965,1245030
616,CZE,315,1970,1270060
617,CZE,315,1975,1418380
618,CZE,315,1980,1546700
619,CZE,315,1985,1082000
620,CZE,315,1990,690000
621,CZR,316,1995,286500
622,CZR,316,2000,318569
623,CZR,316,2005,246712
624,CZR,316,2010,174855
625,SLO,317,1995,440819
626,SLO,317,2000,535460
627,SLO,317,2005,504249
628,SLO,317,2010,473787
629,ITA,325,1945,0
630,ITA,325,1950,0
631,ITA,325,1955,0
632,ITA,325,1960,100000
633,ITA,325,1965,90000
634,ITA,325,1970,80000
635,ITA,325,1975,70000
636,ITA,325,1980,70000
637,ITA,325,1985,50000
638,ITA,325,1990,0
639,ITA,325,1995,0
640,ITA,325,2000,252535
641,ITA,325,2005,358000
642,ITA,325,2010,0
643,SNM,331,1995,0
644,SNM,331,2000,0
645,SNM,331,2005,0
646,SNM,331,2010,0
647,MLT,338,1965,130
648,MLT,338,1970,209
649,MLT,338,1975,334
650,MLT,338,1980,460
651,MLT,338,1985,555
652,MLT,338,1990,650
653,MLT,338,1995,760
654,MLT,338,2000,1469
655,MLT,338,2005,994
656,MLT,338,2010,4129
657,ALB,339,1945,0
658,ALB,339,1950,0
659,ALB,339,1955,0
660,ALB,339,1960,0
661,ALB,339,1965,0
662,ALB,339,1970,530
663,ALB,339,1975,810
664,ALB,339,1980,1100
665,ALB,339,1985,3050
666,ALB,339,1990,5000
667,ALB,339,1995,5037
668,ALB,339,2000,0
669,ALB,339,2005,0
670,ALB,339,2010,0
671,MNG,341,2010,1200
672,MAC,343,1995,1215
673,MAC,343,2000,520
674,MAC,343,2005,2884
675,MAC,343,2010,5248
676,CRO,344,1995,27233
677,CRO,344,2000,11918
